,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,1000_multi_user__query_1,1,1669485084.0373,1669485085.8019,1.7646,4223,False
1,1000_multi_user__query_2,2,1669485085.8048,1669485085.8672,0.0624,1,False
2,1000_multi_user__query_3,3,1669485085.8677,1669485086.1537,0.286,10,False
3,1000_multi_user__query_4,4,1669485086.155,1669485086.244,0.089,10,False
4,1000_multi_user__query_5,5,1669485086.245,1669485086.3206,0.0756,10,False
5,1000_multi_user__query_6,6,1669485086.3216,1669485086.5315,0.21,10,False
0,1000_multi_user__query_1,1,1669485084.0375,1669485085.786,1.7485,4223,False
1,1000_multi_user__query_2,2,1669485085.7906,1669485085.8685,0.0779,1,False
2,1000_multi_user__query_3,3,1669485085.8689,1669485086.1659,0.297,10,False
3,1000_multi_user__query_4,4,1669485086.1668,1669485086.2549,0.0881,10,False
4,1000_multi_user__query_5,5,1669485086.2558,1669485086.3344,0.0785,10,False
5,1000_multi_user__query_6,6,1669485086.3353,1669485086.5389,0.2035,10,False
0,1000_multi_user__query_1,1,1669485084.0378,1669485085.764,1.7262,4223,False
1,1000_multi_user__query_2,2,1669485085.7695,1669485085.8344,0.0649,1,False
2,1000_multi_user__query_3,3,1669485085.835,1669485086.1423,0.3073,10,False
3,1000_multi_user__query_4,4,1669485086.1441,1669485086.2284,0.0843,10,False
4,1000_multi_user__query_5,5,1669485086.2294,1669485086.305,0.0756,10,False
5,1000_multi_user__query_6,6,1669485086.306,1669485086.4814,0.1754,10,False
