,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,100000_multi_user__./queries/query_2.flux,1,1670605206.361,1670605206.361,0.0,0,True
1,100000_multi_user__./queries/query_3.flux,2,1670605811.7608,1670605811.7748,0.0,0,True
2,100000_multi_user__./queries/query_4.flux,3,1670606416.2836,1670606416.2836,0.0,0,True
3,100000_multi_user__./queries/query_5.flux,4,1670607021.1502,1670607021.1502,0.0,0,True
4,100000_multi_user__./queries/query_6.flux,5,1670607636.8505,1670607636.8797,0.0,0,True
5,100000_multi_user__./queries/query_1.flux,6,1670608240.2253,1670608240.2253,0.0,0,True
0,100000_multi_user__./queries/query_2.flux,1,1670605206.3447,1670605206.3447,0.0,0,True
1,100000_multi_user__./queries/query_3.flux,2,1670605811.7692,1670605811.7692,0.0,0,True
2,100000_multi_user__./queries/query_4.flux,3,1670606416.2765,1670606416.2886,0.0,0,True
3,100000_multi_user__./queries/query_5.flux,4,1670607021.1407,1670607021.1407,0.0,0,True
4,100000_multi_user__./queries/query_6.flux,5,1670607636.8548,1670607636.8548,0.0,0,True
5,100000_multi_user__./queries/query_1.flux,6,1670608240.2098,1670608240.2098,0.0,0,True
0,100000_multi_user__./queries/query_2.flux,1,1670605206.3505,1670605206.3505,0.0,0,True
1,100000_multi_user__./queries/query_3.flux,2,1670605811.761,1670605811.761,0.0,0,True
2,100000_multi_user__./queries/query_4.flux,3,1670606416.3056,1670606416.3056,0.0,0,True
3,100000_multi_user__./queries/query_5.flux,4,1670607021.1897,1670607021.1898,0.0,0,True
4,100000_multi_user__./queries/query_6.flux,5,1670607636.8589,1670607636.8589,0.0,0,True
5,100000_multi_user__./queries/query_1.flux,6,1670608240.2071,1670608240.2174,0.0,0,True
