result,table,_time,_start,_stop,Id,_value
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_4434,397200
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_2459,393500
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_9067,390500
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_52,389900
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_8794,389900
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_9259,389700
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_5075,389300
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_5147,388800
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_3250,387800
_result,0,2022-11-22 00:00:00+00:00,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,Security_6943,382400
