,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,10000_multi_user__./queries/query_4.q,1,1669322958.2328,1669322958.2629,0.0301,10,False
1,10000_multi_user__./queries/query_3.q,2,1669322958.2645,1669322958.3405,0.076,10,False
2,10000_multi_user__./queries/query_2.q,3,1669322958.3424,1669322958.4731,0.1307,1,False
3,10000_multi_user__./queries/query_6.q,4,1669322958.4739,1669322958.6435,0.1696,10,False
4,10000_multi_user__./queries/query_1.q,5,1669322958.6449,1669322958.7885,0.1436,3795,False
5,10000_multi_user__./queries/query_5.q,6,1669322958.81,1669322958.9444,0.1345,10,False
0,10000_multi_user__./queries/query_4.q,1,1669322958.233,1669322958.3045,0.0716,10,False
1,10000_multi_user__./queries/query_3.q,2,1669322958.3079,1669322958.4628,0.1549,10,False
2,10000_multi_user__./queries/query_2.q,3,1669322958.4645,1669322958.4937,0.0292,1,False
3,10000_multi_user__./queries/query_6.q,4,1669322958.4945,1669322958.7689,0.2744,10,False
4,10000_multi_user__./queries/query_1.q,5,1669322958.7781,1669322958.7917,0.0136,3795,False
5,10000_multi_user__./queries/query_5.q,6,1669322958.8063,1669322958.9432,0.137,10,False
0,10000_multi_user__./queries/query_4.q,1,1669322958.2329,1669322958.3065,0.0736,10,False
1,10000_multi_user__./queries/query_3.q,2,1669322958.31,1669322958.4653,0.1553,10,False
2,10000_multi_user__./queries/query_2.q,3,1669322958.4665,1669322958.4953,0.0288,1,False
3,10000_multi_user__./queries/query_6.q,4,1669322958.4958,1669322958.779,0.2831,10,False
4,10000_multi_user__./queries/query_1.q,5,1669322958.7812,1669322958.8273,0.0461,3795,False
5,10000_multi_user__./queries/query_5.q,6,1669322958.8448,1669322959.1153,0.2705,10,False
0,10000_multi_user__./queries/query_4.q,1,1669322958.233,1669322958.308,0.075,10,False
1,10000_multi_user__./queries/query_3.q,2,1669322958.3093,1669322958.4667,0.1574,10,False
2,10000_multi_user__./queries/query_2.q,3,1669322958.4687,1669322958.4959,0.0272,1,False
3,10000_multi_user__./queries/query_6.q,4,1669322958.4965,1669322958.7712,0.2747,10,False
4,10000_multi_user__./queries/query_1.q,5,1669322958.7826,1669322958.8269,0.0443,3795,False
5,10000_multi_user__./queries/query_5.q,6,1669322958.8452,1669322959.1172,0.272,10,False
0,10000_multi_user__./queries/query_4.q,1,1669322958.2329,1669322958.3056,0.0727,10,False
1,10000_multi_user__./queries/query_3.q,2,1669322958.3107,1669322958.4647,0.154,10,False
2,10000_multi_user__./queries/query_2.q,3,1669322958.4682,1669322958.4946,0.0264,1,False
3,10000_multi_user__./queries/query_6.q,4,1669322958.4952,1669322958.7702,0.275,10,False
4,10000_multi_user__./queries/query_1.q,5,1669322958.7788,1669322958.8277,0.0489,3795,False
5,10000_multi_user__./queries/query_5.q,6,1669322958.846,1669322959.1148,0.2688,10,False
